18.635	49.549	0
20	53.7764	0
25	59.215256	0
30	61.904	0
35	62.649233	0
40	62.14158	0
45	60.50764	0
50	57.624	0
55	53.452	0
60	47.60318	0
65	39.8159	0
70	30.196	0
75	18.97045474	0
76	16.64731642	0
77	14.122279	0
78	11.42447728	0
79	8.48584156	0
80	5.4578	0
80.5	1.41345738	0
79.81	0.85	0
18.635	49.549	0
20	47.342437	0
25	47	0
30	47.87655474	0
35	47.3166558	0
40	45.84236	0
45	43.4026	0
50	39.845746	0
55	35.13	0
60	29.44045	0
65	22.9317897	0
70	15.2796	0
71.5	12.9857	0
73	10.40714822	0
75	6.807	0
76	4.854	0
77.5	2.11	0
78.111555	1.114152	0
79	0.840241	0
79.81	0.85	0
18.635	49.549	0
20	50.5594185	0
25	53.107628	0
30	54.89027737	0
35	54.9829444	0
40	53.99197	0
45	51.95512	0
50	48.734873	0
55	44.291	0
60	38.521815	0
65	31.37384485	0
70	22.7378	0
75	12.88872722	0
75.5	11.7673771	0
76	10.60895458	0
76.5	9.41479072	0
77	8.187	0
77.5	6.92855619	0
78	5.64335463	0
78.5	4.33618213	0
79	3.01264205	0
79.81	0.85	0
18.635	106.299	0
20	107.3094185	0
25	109.857628	0
30	111.6402774	0
35	111.7329444	0
40	110.74197	0
45	108.70512	0
50	105.484873	0
55	101.041	0
60	95.271815	0
65	88.12384485	0
70	79.4878	0
75	69.63872722	0
75.5	68.5173771	0
76	67.35895458	0
76.5	66.16479072	0
77	64.937	0
77.5	63.67855619	0
78	62.39335463	0
78.5	61.08618213	0
79	59.76264205	0
18.635	-7.201	0
20	-6.1905815	0
25	-3.642372	0
30	-1.85972263	0
35	-1.7670556	0
40	-2.75803	0
45	-4.79488	0
50	-8.015127	0
55	-12.459	0
60	-18.228185	0
65	-25.37615515	0
70	-34.0122	0
75	-43.86127278	0
75.5	-44.9826229	0
76	-46.14104542	0
76.5	-47.33520928	0
77	-48.563	0
77.5	-49.82144381	0
78	-51.10664537	0
78.5	-52.41381787	0
79	-53.73735795	0
-85.2877	46.3	0
-85.288	-67.2	0
-85.2877	46.3	0
18.635	106.299	0
-85.288	-67.2	0
18.635	-7.201	0
163.8597715	-167.2	0
163.86	-280.7	0
163.8597715	-167.2	0
79	59.76264205	0
163.86	-280.7	0
79	-53.73735795	0
